overall_rank,country_name,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,unemployment_rate
126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,10.39
127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2.32
128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,12.67
129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,18.97
130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,0.87
131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,1.13
133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,5.33
134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,0.55
135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,1.92
136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,1.47
137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,17.58
138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,8.8
139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,3.73
140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,4.98
141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,22.81
142,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061,7.42
143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,1.84
144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,4.8
145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,11.15
146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,22.07
147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,5.76
148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,13.86
149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,3.03
151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,1.11
153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,2.21
154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,12.24
155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,5.61
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,1.59
